item_name,color,category,material,reference_month,color_current,category_current,material_current,avg_current,season_plus_0,season_plus_1,season_plus_2,season_plus_3,season_plus_6,months_until_peak,months_since_peak,sin_month,cos_month,best_timeframe
Leather Accessories #00033,beige,accessories,leather,10,0.223759,0.083635,0.139401,0.148932,0.351838,0.278657,0.253189,0.511193,0.768595,7.0,5.0,-0.866025,0.5,six_months
Leather Accessories #00034,beige,accessories,leather,11,0.223759,0.083635,0.139401,0.148932,0.278657,0.253189,0.511193,0.926462,1.0,6.0,6.0,-0.5,0.866025,six_months
Leather Accessories #00035,beige,accessories,leather,12,0.223759,0.083635,0.139401,0.148932,0.253189,0.511193,0.926462,0.893776,0.904195,5.0,7.0,-0.0,1.0,six_months
Linen Accessories #00036,beige,accessories,linen,1,0.223759,0.083635,0.33887,0.215421,0.594564,0.670444,1.0,0.799162,0.496223,2.0,10.0,0.5,0.866025,next_month
Linen Accessories #00037,beige,accessories,linen,2,0.223759,0.083635,0.33887,0.215421,0.670444,1.0,0.799162,0.859178,0.305311,1.0,11.0,0.866025,0.5,next_week
Linen Accessories #00038,beige,accessories,linen,3,0.223759,0.083635,0.33887,0.215421,1.0,0.799162,0.859178,0.825674,0.225285,0.0,0.0,1.0,0.0,current
Linen Accessories #00039,beige,accessories,linen,4,0.223759,0.083635,0.33887,0.215421,0.799162,0.859178,0.825674,0.496223,0.179243,11.0,1.0,0.866025,-0.5,six_months
Linen Accessories #00040,beige,accessories,linen,5,0.223759,0.083635,0.33887,0.215421,0.859178,0.825674,0.496223,0.305311,0.177067,10.0,2.0,0.5,-0.866025,six_months
Linen Accessories #00041,beige,accessories,linen,6,0.223759,0.083635,0.33887,0.215421,0.825674,0.496223,0.305311,0.225285,0.244325,9.0,3.0,0.0,-1.0,six_months
Linen Accessories #00042,beige,accessories,linen,7,0.223759,0.083635,0.33887,0.215421,0.496223,0.305311,0.225285,0.179243,0.594564,8.0,4.0,-0.5,-0.866025,six_months
Linen Accessories #00043,beige,accessories,linen,8,0.223759,0.083635,0.33887,0.215421,0.305311,0.225285,0.179243,0.177067,0.670444,7.0,5.0,-0.866025,-0.5,six_months
Linen Accessories #00044,beige,accessories,linen,9,0.223759,0.083635,0.33887,0.215421,0.225285,0.179243,0.177067,0.244325,1.0,6.0,6.0,-1.0,-0.0,six_months
Linen Accessories #00045,beige,accessories,linen,10,0.223759,0.083635,0.33887,0.215421,0.179243,0.177067,0.244325,0.594564,0.799162,5.0,7.0,-0.866025,0.5,six_months
Linen Accessories #00046,beige,accessories,linen,11,0.223759,0.083635,0.33887,0.215421,0.177067,0.244325,0.594564,0.670444,0.859178,4.0,8.0,-0.5,0.866025,three_months
Linen Accessories #00047,beige,accessories,linen,12,0.223759,0.083635,0.33887,0.215421,0.244325,0.594564,0.670444,1.0,0.825674,3.0,9.0,-0.0,1.0,three_months
Polyester Accessories #00048,beige,accessories,polyester,1,0.223759,0.083635,0.20331,0.170235,0.265022,0.307719,0.0,0.54424,0.114955,9.0,3.0,0.5,0.866025,six_months
Polyester Accessories #00049,beige,accessories,polyester,2,0.223759,0.083635,0.20331,0.170235,0.307719,0.0,0.54424,0.464279,0.553518,8.0,4.0,0.866025,0.5,six_months
Polyester Accessories #00050,beige,accessories,polyester,3,0.223759,0.083635,0.20331,0.170235,0.0,0.54424,0.464279,0.457007,0.626875,7.0,5.0,1.0,0.0,six_months
Polyester Accessories #00051,beige,accessories,polyester,4,0.223759,0.083635,0.20331,0.170235,0.54424,0.464279,0.457007,0.114955,1.0,6.0,6.0,0.866025,-0.5,six_months
Polyester Accessories #00052,beige,accessories,polyester,5,0.223759,0.083635,0.20331,0.170235,0.464279,0.457007,0.114955,0.553518,0.539305,5.0,7.0,0.5,-0.866025,six_months
Polyester Accessories #00053,beige,accessories,polyester,6,0.223759,0.083635,0.20331,0.170235,0.457007,0.114955,0.553518,0.626875,0.856849,4.0,8.0,0.0,-1.0,three_months
Polyester Accessories #00054,beige,accessories,polyester,7,0.223759,0.083635,0.20331,0.170235,0.114955,0.553518,0.626875,1.0,0.265022,3.0,9.0,-0.5,-0.866025,three_months
Polyester Accessories #00055,beige,accessories,polyester,8,0.223759,0.083635,0.20331,0.170235,0.553518,0.626875,1.0,0.539305,0.307719,2.0,10.0,-0.866025,-0.5,next_month
Polyester Accessories #00056,beige,accessories,polyester,9,0.223759,0.083635,0.20331,0.170235,0.626875,1.0,0.539305,0.856849,0.0,1.0,11.0,-1.0,-0.0,next_week
Polyester Accessories #00057,beige,accessories,polyester,10,0.223759,0.083635,0.20331,0.170235,1.0,0.539305,0.856849,0.265022,0.54424,0.0,0.0,-0.866025,0.5,current
Polyester Accessories #00058,beige,accessories,polyester,11,0.223759,0.083635,0.20331,0.170235,0.539305,0.856849,0.265022,0.307719,0.464279,11.0,1.0,-0.5,0.866025,six_months
Polyester Accessories #00059,beige,accessories,polyester,12,0.223759,0.083635,0.20331,0.170235,0.856849,0.265022,0.307719,0.0,0.457007,10.0,2.0,-0.0,1.0,six_months
Cotton Dress #00084,beige,dress,cotton,1,0.223759,0.335118,0.787792,0.44889,0.250619,0.329933,0.379232,0.354525,0.532092,7.0,5.0,0.5,0.866025,six_months
Cotton Dress #00085,beige,dress,cotton,2,0.223759,0.335118,0.787792,0.44889,0.329933,0.379232,0.354525,0.547809,1.0,6.0,6.0,0.866025,0.5,six_months
Cotton Dress #00086,beige,dress,cotton,3,0.223759,0.335118,0.787792,0.44889,0.379232,0.354525,0.547809,0.561657,0.249065,5.0,7.0,1.0,0.0,six_months
Cotton Dress #00087,beige,dress,cotton,4,0.223759,0.335118,0.787792,0.44889,0.354525,0.547809,0.561657,0.532092,0.115006,4.0,8.0,0.866025,-0.5,three_months
Cotton Dress #00088,beige,dress,cotton,5,0.223759,0.335118,0.787792,0.44889,0.547809,0.561657,0.532092,1.0,0.095066,3.0,9.0,0.5,-0.866025,three_months
Cotton Dress #00089,beige,dress,cotton,6,0.223759,0.335118,0.787792,0.44889,0.561657,0.532092,1.0,0.249065,0.084894,2.0,10.0,0.0,-1.0,next_month
Cotton Dress #00090,beige,dress,cotton,7,0.223759,0.335118,0.787792,0.44889,0.532092,1.0,0.249065,0.115006,0.250619,1.0,11.0,-0.5,-0.866025,next_week
Cotton Dress #00091,beige,dress,cotton,8,0.223759,0.335118,0.787792,0.44889,1.0,0.249065,0.115006,0.095066,0.329933,0.0,0.0,-0.866025,-0.5,current
Cotton Dress #00092,beige,dress,cotton,9,0.223759,0.335118,0.787792,0.44889,0.249065,0.115006,0.095066,0.084894,0.379232,11.0,1.0,-1.0,-0.0,six_months
Cotton Dress #00093,beige,dress,cotton,10,0.223759,0.335118,0.787792,0.44889,0.115006,0.095066,0.084894,0.250619,0.354525,10.0,2.0,-0.866025,0.5,six_months
Cotton Dress #00094,beige,dress,cotton,11,0.223759,0.335118,0.787792,0.44889,0.095066,0.084894,0.250619,0.329933,0.547809,9.0,3.0,-0.5,0.866025,six_months
Cotton Dress #00095,beige,dress,cotton,12,0.223759,0.335118,0.787792,0.44889,0.084894,0.250619,0.329933,0.379232,0.561657,8.0,4.0,-0.0,1.0,six_months
Denim Dress #00096,beige,dress,denim,1,0.223759,0.335118,0.685824,0.4149,0.0,0.0,0.0,0.0,0.211999,4.0,8.0,0.5,0.866025,three_months
Denim Dress #00097,beige,dress,denim,2,0.223759,0.335118,0.685824,0.4149,0.0,0.0,0.0,1.0,0.052357,3.0,9.0,0.866025,0.5,three_months
Denim Dress #00098,beige,dress,denim,3,0.223759,0.335118,0.685824,0.4149,0.0,0.0,1.0,0.304794,0.0,2.0,10.0,1.0,0.0,next_month
Denim Dress #00099,beige,dress,denim,4,0.223759,0.335118,0.685824,0.4149,0.0,1.0,0.304794,0.211999,0.01619,1.0,11.0,0.866025,-0.5,next_week
Denim Dress #00100,beige,dress,denim,5,0.223759,0.335118,0.685824,0.4149,1.0,0.304794,0.211999,0.052357,0.007858,0.0,0.0,0.5,-0.866025,current
Denim Dress #00101,beige,dress,denim,6,0.223759,0.335118,0.685824,0.4149,0.304794,0.211999,0.052357,0.0,0.017836,11.0,1.0,0.0,-1.0,six_months
Denim Dress #00102,beige,dress,denim,7,0.223759,0.335118,0.685824,0.4149,0.211999,0.052357,0.0,0.01619,0.0,10.0,2.0,-0.5,-0.866025,six_months
Denim Dress #00103,beige,dress,denim,8,0.223759,0.335118,0.685824,0.4149,0.052357,0.0,0.01619,0.007858,0.0,9.0,3.0,-0.866025,-0.5,six_months
Denim Dress #00104,beige,dress,denim,9,0.223759,0.335118,0.685824,0.4149,0.0,0.01619,0.007858,0.017836,0.0,8.0,4.0,-1.0,-0.0,six_months
Denim Dress #00105,beige,dress,denim,10,0.223759,0.335118,0.685824,0.4149,0.01619,0.007858,0.017836,0.0,0.0,7.0,5.0,-0.866025,0.5,six_months
Denim Dress #00106,beige,dress,denim,11,0.223759,0.335118,0.685824,0.4149,0.007858,0.017836,0.0,0.0,1.0,6.0,6.0,-0.5,0.866025,six_months
Denim Dress #00107,beige,dress,denim,12,0.223759,0.335118,0.685824,0.4149,0.017836,0.0,0.0,0.0,0.304794,5.0,7.0,-0.0,1.0,six_months
Knit Dress #00108,beige,dress,knit,1,0.223759,0.335118,0.162334,0.240404,0.341992,0.400989,0.395979,0.440483,0.494091,4.0,8.0,0.5,0.866025,three_months
Knit Dress #00109,beige,dress,knit,2,0.223759,0.335118,0.162334,0.240404,0.400989,0.395979,0.440483,1.0,0.657407,3.0,9.0,0.866025,0.5,three_months
Knit Dress #00110,beige,dress,knit,3,0.223759,0.335118,0.162334,0.240404,0.395979,0.440483,1.0,0.76754,0.355697,2.0,10.0,1.0,0.0,next_month
Knit Dress #00111,beige,dress,knit,4,0.223759,0.335118,0.162334,0.240404,0.440483,1.0,0.76754,0.494091,0.288655,1.0,11.0,0.866025,-0.5,next_week
Knit Dress #00112,beige,dress,knit,5,0.223759,0.335118,0.162334,0.240404,1.0,0.76754,0.494091,0.657407,0.204752,0.0,0.0,0.5,-0.866025,current
Knit Dress #00113,beige,dress,knit,6,0.223759,0.335118,0.162334,0.240404,0.76754,0.494091,0.657407,0.355697,0.364277,11.0,1.0,0.0,-1.0,six_months
Knit Dress #00114,beige,dress,knit,7,0.223759,0.335118,0.162334,0.240404,0.494091,0.657407,0.355697,0.288655,0.341992,10.0,2.0,-0.5,-0.866025,six_months
Knit Dress #00115,beige,dress,knit,8,0.223759,0.335118,0.162334,0.240404,0.657407,0.355697,0.288655,0.204752,0.400989,9.0,3.0,-0.866025,-0.5,six_months
Knit Dress #00116,beige,dress,knit,9,0.223759,0.335118,0.162334,0.240404,0.355697,0.288655,0.204752,0.364277,0.395979,8.0,4.0,-1.0,-0.0,six_months
Knit Dress #00117,beige,dress,knit,10,0.223759,0.335118,0.162334,0.240404,0.288655,0.204752,0.364277,0.341992,0.440483,7.0,5.0,-0.866025,0.5,six_months
Knit Dress #00118,beige,dress,knit,11,0.223759,0.335118,0.162334,0.240404,0.204752,0.364277,0.341992,0.400989,1.0,6.0,6.0,-0.5,0.866025,six_months
Knit Dress #00119,beige,dress,knit,12,0.223759,0.335118,0.162334,0.240404,0.364277,0.341992,0.400989,0.395979,0.76754,5.0,7.0,-0.0,1.0,six_months
Linen Dress #00132,beige,dress,linen,1,0.223759,0.335118,0.33887,0.299249,0.253397,0.129457,0.676833,0.863371,0.730003,4.0,8.0,0.5,0.866025,three_months
Linen Dress #00133,beige,dress,linen,2,0.223759,0.335118,0.33887,0.299249,0.129457,0.676833,0.863371,1.0,0.390989,3.0,9.0,0.866025,0.5,three_months
Linen Dress #00134,beige,dress,linen,3,0.223759,0.335118,0.33887,0.299249,0.676833,0.863371,1.0,0.955282,0.090062,2.0,10.0,1.0,0.0,next_month
Linen Dress #00135,beige,dress,linen,4,0.223759,0.335118,0.33887,0.299249,0.863371,1.0,0.955282,0.730003,0.061618,1.0,11.0,0.866025,-0.5,next_week
Linen Dress #00136,beige,dress,linen,5,0.223759,0.335118,0.33887,0.299249,1.0,0.955282,0.730003,0.390989,0.043314,0.0,0.0,0.5,-0.866025,current
Linen Dress #00137,beige,dress,linen,6,0.223759,0.335118,0.33887,0.299249,0.955282,0.730003,0.390989,0.090062,0.053837,11.0,1.0,0.0,-1.0,six_months
Linen Dress #00138,beige,dress,linen,7,0.223759,0.335118,0.33887,0.299249,0.730003,0.390989,0.090062,0.061618,0.253397,10.0,2.0,-0.5,-0.866025,six_months
Linen Dress #00139,beige,dress,linen,8,0.223759,0.335118,0.33887,0.299249,0.390989,0.090062,0.061618,0.043314,0.129457,9.0,3.0,-0.866025,-0.5,six_months
Linen Dress #00140,beige,dress,linen,9,0.223759,0.335118,0.33887,0.299249,0.090062,0.061618,0.043314,0.053837,0.676833,8.0,4.0,-1.0,-0.0,six_months
Linen Dress #00141,beige,dress,linen,10,0.223759,0.335118,0.33887,0.299249,0.061618,0.043314,0.053837,0.253397,0.863371,7.0,5.0,-0.866025,0.5,six_months
Linen Dress #00142,beige,dress,linen,11,0.223759,0.335118,0.33887,0.299249,0.043314,0.053837,0.253397,0.129457,1.0,6.0,6.0,-0.5,0.866025,six_months
Linen Dress #00143,beige,dress,linen,12,0.223759,0.335118,0.33887,0.299249,0.053837,0.253397,0.129457,0.676833,0.955282,5.0,7.0,-0.0,1.0,six_months
Polyester Dress #00144,beige,dress,polyester,1,0.223759,0.335118,0.20331,0.254062,0.274479,0.271548,0.358837,0.937509,0.735241,7.0,5.0,0.5,0.866025,six_months
Polyester Dress #00145,beige,dress,polyester,2,0.223759,0.335118,0.20331,0.254062,0.271548,0.358837,0.937509,0.51899,1.0,6.0,6.0,0.866025,0.5,six_months
Polyester Dress #00146,beige,dress,polyester,3,0.223759,0.335118,0.20331,0.254062,0.358837,0.937509,0.51899,0.479178,0.253877,5.0,7.0,1.0,0.0,six_months
Polyester Dress #00147,beige,dress,polyester,4,0.223759,0.335118,0.20331,0.254062,0.937509,0.51899,0.479178,0.735241,0.03756,4.0,8.0,0.866025,-0.5,three_months
Polyester Dress #00148,beige,dress,polyester,5,0.223759,0.335118,0.20331,0.254062,0.51899,0.479178,0.735241,1.0,0.186072,3.0,9.0,0.5,-0.866025,three_months
Polyester Dress #00149,beige,dress,polyester,6,0.223759,0.335118,0.20331,0.254062,0.479178,0.735241,1.0,0.253877,0.411552,2.0,10.0,0.0,-1.0,next_month
Polyester Dress #00150,beige,dress,polyester,7,0.223759,0.335118,0.20331,0.254062,0.735241,1.0,0.253877,0.03756,0.274479,1.0,11.0,-0.5,-0.866025,next_week
Polyester Dress #00151,beige,dress,polyester,8,0.223759,0.335118,0.20331,0.254062,1.0,0.253877,0.03756,0.186072,0.271548,0.0,0.0,-0.866025,-0.5,current
Polyester Dress #00152,beige,dress,polyester,9,0.223759,0.335118,0.20331,0.254062,0.253877,0.03756,0.186072,0.411552,0.358837,11.0,1.0,-1.0,-0.0,six_months
Polyester Dress #00153,beige,dress,polyester,10,0.223759,0.335118,0.20331,0.254062,0.03756,0.186072,0.411552,0.274479,0.937509,10.0,2.0,-0.866025,0.5,six_months
Polyester Dress #00154,beige,dress,polyester,11,0.223759,0.335118,0.20331,0.254062,0.186072,0.411552,0.274479,0.271548,0.51899,9.0,3.0,-0.5,0.866025,six_months
Polyester Dress #00155,beige,dress,polyester,12,0.223759,0.335118,0.20331,0.254062,0.411552,0.274479,0.271548,0.358837,0.479178,8.0,4.0,-0.0,1.0,six_months
Leather Outerwear #00216,beige,outerwear,leather,1,0.223759,0.222715,0.139401,0.195292,0.776237,0.834678,0.645472,0.341245,0.253741,9.0,3.0,0.5,0.866025,six_months
Leather Outerwear #00217,beige,outerwear,leather,2,0.223759,0.222715,0.139401,0.195292,0.834678,0.645472,0.341245,0.308642,0.367983,8.0,4.0,0.866025,0.5,six_months
Leather Outerwear #00218,beige,outerwear,leather,3,0.223759,0.222715,0.139401,0.195292,0.645472,0.341245,0.308642,0.19354,0.219242,7.0,5.0,1.0,0.0,six_months
Leather Outerwear #00219,beige,outerwear,leather,4,0.223759,0.222715,0.139401,0.195292,0.341245,0.308642,0.19354,0.253741,1.0,6.0,6.0,0.866025,-0.5,six_months
Leather Outerwear #00220,beige,outerwear,leather,5,0.223759,0.222715,0.139401,0.195292,0.308642,0.19354,0.253741,0.367983,0.297062,5.0,7.0,0.5,-0.866025,six_months
Leather Outerwear #00221,beige,outerwear,leather,6,0.223759,0.222715,0.139401,0.195292,0.19354,0.253741,0.367983,0.219242,0.330447,4.0,8.0,0.0,-1.0,three_months
Leather Outerwear #00222,beige,outerwear,leather,7,0.223759,0.222715,0.139401,0.195292,0.253741,0.367983,0.219242,1.0,0.776237,3.0,9.0,-0.5,-0.866025,three_months
Leather Outerwear #00223,beige,outerwear,leather,8,0.223759,0.222715,0.139401,0.195292,0.367983,0.219242,1.0,0.297062,0.834678,2.0,10.0,-0.866025,-0.5,next_month
Leather Outerwear #00224,beige,outerwear,leather,9,0.223759,0.222715,0.139401,0.195292,0.219242,1.0,0.297062,0.330447,0.645472,1.0,11.0,-1.0,-0.0,next_week
Leather Outerwear #00225,beige,outerwear,leather,10,0.223759,0.222715,0.139401,0.195292,1.0,0.297062,0.330447,0.776237,0.341245,0.0,0.0,-0.866025,0.5,current
Leather Outerwear #00226,beige,outerwear,leather,11,0.223759,0.222715,0.139401,0.195292,0.297062,0.330447,0.776237,0.834678,0.308642,11.0,1.0,-0.5,0.866025,six_months
Leather Outerwear #00227,beige,outerwear,leather,12,0.223759,0.222715,0.139401,0.195292,0.330447,0.776237,0.834678,0.645472,0.19354,10.0,2.0,-0.0,1.0,six_months
Linen Outerwear #00228,beige,outerwear,linen,1,0.223759,0.222715,0.33887,0.261781,0.098397,0.505566,0.851209,1.0,0.85225,3.0,9.0,0.5,0.866025,three_months
Linen Outerwear #00229,beige,outerwear,linen,2,0.223759,0.222715,0.33887,0.261781,0.505566,0.851209,1.0,0.785923,0.333062,2.0,10.0,0.866025,0.5,next_month
Linen Outerwear #00230,beige,outerwear,linen,3,0.223759,0.222715,0.33887,0.261781,0.851209,1.0,0.785923,0.925324,0.133195,1.0,11.0,1.0,0.0,next_week
Linen Outerwear #00231,beige,outerwear,linen,4,0.223759,0.222715,0.33887,0.261781,1.0,0.785923,0.925324,0.85225,0.020226,0.0,0.0,0.866025,-0.5,current
Linen Outerwear #00232,beige,outerwear,linen,5,0.223759,0.222715,0.33887,0.261781,0.785923,0.925324,0.85225,0.333062,0.019916,11.0,1.0,0.5,-0.866025,six_months
Linen Outerwear #00233,beige,outerwear,linen,6,0.223759,0.222715,0.33887,0.261781,0.925324,0.85225,0.333062,0.133195,0.055327,10.0,2.0,0.0,-1.0,six_months
Linen Outerwear #00234,beige,outerwear,linen,7,0.223759,0.222715,0.33887,0.261781,0.85225,0.333062,0.133195,0.020226,0.098397,9.0,3.0,-0.5,-0.866025,six_months
Linen Outerwear #00235,beige,outerwear,linen,8,0.223759,0.222715,0.33887,0.261781,0.333062,0.133195,0.020226,0.019916,0.505566,8.0,4.0,-0.866025,-0.5,six_months
Linen Outerwear #00236,beige,outerwear,linen,9,0.223759,0.222715,0.33887,0.261781,0.133195,0.020226,0.019916,0.055327,0.851209,7.0,5.0,-1.0,-0.0,six_months
Linen Outerwear #00237,beige,outerwear,linen,10,0.223759,0.222715,0.33887,0.261781,0.020226,0.019916,0.055327,0.098397,1.0,6.0,6.0,-0.866025,0.5,six_months
Linen Outerwear #00238,beige,outerwear,linen,11,0.223759,0.222715,0.33887,0.261781,0.019916,0.055327,0.098397,0.505566,0.785923,5.0,7.0,-0.5,0.866025,six_months
Linen Outerwear #00239,beige,outerwear,linen,12,0.223759,0.222715,0.33887,0.261781,0.055327,0.098397,0.505566,0.851209,0.925324,4.0,8.0,-0.0,1.0,three_months
Polyester Outerwear #00240,beige,outerwear,polyester,1,0.223759,0.222715,0.20331,0.216595,0.191192,0.389297,0.251515,0.140748,0.212466,8.0,4.0,0.5,0.866025,six_months
Polyester Outerwear #00241,beige,outerwear,polyester,2,0.223759,0.222715,0.20331,0.216595,0.389297,0.251515,0.140748,0.121695,0.515014,7.0,5.0,0.866025,0.5,six_months
Polyester Outerwear #00242,beige,outerwear,polyester,3,0.223759,0.222715,0.20331,0.216595,0.251515,0.140748,0.121695,0.229048,1.0,6.0,6.0,1.0,0.0,six_months
Polyester Outerwear #00243,beige,outerwear,polyester,4,0.223759,0.222715,0.20331,0.216595,0.140748,0.121695,0.229048,0.212466,0.241438,5.0,7.0,0.866025,-0.5,six_months
Polyester Outerwear #00244,beige,outerwear,polyester,5,0.223759,0.222715,0.20331,0.216595,0.121695,0.229048,0.212466,0.515014,0.163288,4.0,8.0,0.5,-0.866025,three_months
Polyester Outerwear #00245,beige,outerwear,polyester,6,0.223759,0.222715,0.20331,0.216595,0.229048,0.212466,0.515014,1.0,0.160489,3.0,9.0,0.0,-1.0,three_months
Polyester Outerwear #00246,beige,outerwear,polyester,7,0.223759,0.222715,0.20331,0.216595,0.212466,0.515014,1.0,0.241438,0.191192,2.0,10.0,-0.5,-0.866025,next_month
Polyester Outerwear #00247,beige,outerwear,polyester,8,0.223759,0.222715,0.20331,0.216595,0.515014,1.0,0.241438,0.163288,0.389297,1.0,11.0,-0.866025,-0.5,next_week
Polyester Outerwear #00248,beige,outerwear,polyester,9,0.223759,0.222715,0.20331,0.216595,1.0,0.241438,0.163288,0.160489,0.251515,0.0,0.0,-1.0,-0.0,current
Polyester Outerwear #00249,beige,outerwear,polyester,10,0.223759,0.222715,0.20331,0.216595,0.241438,0.163288,0.160489,0.191192,0.140748,11.0,1.0,-0.866025,0.5,six_months
Polyester Outerwear #00250,beige,outerwear,polyester,11,0.223759,0.222715,0.20331,0.216595,0.163288,0.160489,0.191192,0.389297,0.121695,10.0,2.0,-0.5,0.866025,six_months
Polyester Outerwear #00251,beige,outerwear,polyester,12,0.223759,0.222715,0.20331,0.216595,0.160489,0.191192,0.389297,0.251515,0.229048,9.0,3.0,-0.0,1.0,six_months
Denim Pants #00288,beige,pants,denim,1,0.223759,0.542952,0.685824,0.484178,0.553572,1.0,0.964514,0.571561,0.271178,1.0,11.0,0.5,0.866025,next_week
Denim Pants #00289,beige,pants,denim,2,0.223759,0.542952,0.685824,0.484178,1.0,0.964514,0.571561,0.416433,0.677492,0.0,0.0,0.866025,0.5,current
Denim Pants #00290,beige,pants,denim,3,0.223759,0.542952,0.685824,0.484178,0.964514,0.571561,0.416433,0.32372,0.48984,11.0,1.0,1.0,0.0,six_months
Denim Pants #00291,beige,pants,denim,4,0.223759,0.542952,0.685824,0.484178,0.571561,0.416433,0.32372,0.271178,0.319638,10.0,2.0,0.866025,-0.5,six_months
Denim Pants #00292,beige,pants,denim,5,0.223759,0.542952,0.685824,0.484178,0.416433,0.32372,0.271178,0.677492,0.206484,9.0,3.0,0.5,-0.866025,six_months
Denim Pants #00293,beige,pants,denim,6,0.223759,0.542952,0.685824,0.484178,0.32372,0.271178,0.677492,0.48984,0.185895,8.0,4.0,0.0,-1.0,six_months
Denim Pants #00294,beige,pants,denim,7,0.223759,0.542952,0.685824,0.484178,0.271178,0.677492,0.48984,0.319638,0.553572,7.0,5.0,-0.5,-0.866025,six_months
Denim Pants #00295,beige,pants,denim,8,0.223759,0.542952,0.685824,0.484178,0.677492,0.48984,0.319638,0.206484,1.0,6.0,6.0,-0.866025,-0.5,six_months
Denim Pants #00296,beige,pants,denim,9,0.223759,0.542952,0.685824,0.484178,0.48984,0.319638,0.206484,0.185895,0.964514,5.0,7.0,-1.0,-0.0,six_months
Denim Pants #00297,beige,pants,denim,10,0.223759,0.542952,0.685824,0.484178,0.319638,0.206484,0.185895,0.553572,0.571561,4.0,8.0,-0.866025,0.5,three_months
