split,item_name,color,category,material,color_current,category_current,material_current,avg_current,best_timeframe
train,Denim Accessories #0025,green,accessories,denim,0.13476,0.794868,0.732279,0.553969,current
train,Denim Tops #0026,red,tops,denim,0.677631,0.254515,0.732279,0.554808,next_week
train,Silk Outerwear #0027,gray,outerwear,silk,0.757458,0.549126,0.923628,0.743404,current
train,Linen Outerwear #0028,gray,outerwear,linen,0.757458,0.549126,0.369073,0.558552,next_week
train,Silk Accessories #0029,blue,accessories,silk,0.822738,0.794868,0.923628,0.847078,current
train,Polyester Dress #0030,pink,dress,polyester,0.735026,0.449073,0.750545,0.644881,next_week
train,Polyester Accessories #0031,black,accessories,polyester,0.74656,0.794868,0.750545,0.763991,current
train,Cotton Accessories #0032,green,accessories,cotton,0.13476,0.794868,0.618498,0.516042,next_week
train,Cotton Pants #0033,pink,pants,cotton,0.735026,0.884088,0.618498,0.745871,current
train,Linen Pants #0034,pink,pants,linen,0.735026,0.884088,0.369073,0.662729,six_months
train,Denim Shoes #0035,black,shoes,denim,0.74656,0.107436,0.732279,0.528758,next_week
train,Silk Tops #0036,beige,tops,silk,0.92806,0.254515,0.923628,0.702068,current
train,Polyester Shoes #0037,white,shoes,polyester,0.444991,0.107436,0.750545,0.434324,next_week
train,Wool Pants #0038,navy,pants,wool,0.165302,0.884088,0.853809,0.6344,next_week
train,Silk Tops #0039,beige,tops,silk,0.92806,0.254515,0.923628,0.702068,current
train,Denim Accessories #0040,gray,accessories,denim,0.757458,0.794868,0.732279,0.761535,current
train,Linen Shorts #0041,beige,shorts,linen,0.92806,0.629479,0.369073,0.642204,next_week
train,Leather Accessories #0042,black,accessories,leather,0.74656,0.794868,0.225175,0.588868,next_week
train,Leather Pants #0043,red,pants,leather,0.677631,0.884088,0.225175,0.595631,next_week
train,Polyester Outerwear #0044,navy,outerwear,polyester,0.165302,0.549126,0.750545,0.488324,next_month
train,Polyester Shorts #0045,green,shorts,polyester,0.13476,0.629479,0.750545,0.504928,next_week
train,Cotton Dress #0046,green,dress,cotton,0.13476,0.449073,0.618498,0.400777,next_month
train,Linen Pants #0047,beige,pants,linen,0.92806,0.884088,0.369073,0.727074,current
train,Silk Skirt #0048,white,skirt,silk,0.444991,0.790485,0.923628,0.719701,current
train,Leather Dress #0049,brown,dress,leather,0.455347,0.449073,0.225175,0.376532,next_month
train,Denim Shoes #0050,green,shoes,denim,0.13476,0.107436,0.732279,0.324825,three_months
train,Polyester Outerwear #0051,blue,outerwear,polyester,0.822738,0.549126,0.750545,0.70747,current
train,Polyester Tops #0052,red,tops,polyester,0.677631,0.254515,0.750545,0.560897,next_week
train,Polyester Shoes #0053,white,shoes,polyester,0.444991,0.107436,0.750545,0.434324,next_month
train,Silk Pants #0054,white,pants,silk,0.444991,0.884088,0.923628,0.750902,current
train,Wool Tops #0055,blue,tops,wool,0.822738,0.254515,0.853809,0.643687,next_week
train,Silk Tops #0056,brown,tops,silk,0.455347,0.254515,0.923628,0.544497,next_week
train,Leather Shoes #0057,purple,shoes,leather,0.383718,0.107436,0.225175,0.238776,next_month
train,Linen Pants #0058,black,pants,linen,0.74656,0.884088,0.369073,0.666574,current
train,Cotton Pants #0059,gray,pants,cotton,0.757458,0.884088,0.618498,0.753348,current
train,Leather Skirt #0060,black,skirt,leather,0.74656,0.790485,0.225175,0.587407,next_week
train,Leather Dress #0061,white,dress,leather,0.444991,0.449073,0.225175,0.37308,next_month
train,Cotton Pants #0062,brown,pants,cotton,0.455347,0.884088,0.618498,0.652644,current
train,Wool Tops #0063,brown,tops,wool,0.455347,0.254515,0.853809,0.521224,next_week
train,Knit Dress #0064,navy,dress,knit,0.165302,0.449073,0.470049,0.361475,next_month
train,Linen Tops #0065,red,tops,linen,0.677631,0.254515,0.369073,0.43374,next_month
train,Denim Dress #0066,purple,dress,denim,0.383718,0.449073,0.732279,0.52169,next_week
train,Linen Tops #0067,brown,tops,linen,0.455347,0.254515,0.369073,0.359645,next_month
train,Cotton Shoes #0068,pink,shoes,cotton,0.735026,0.107436,0.618498,0.486987,next_month
train,Denim Tops #0069,beige,tops,denim,0.92806,0.254515,0.732279,0.638285,next_week
train,Leather Pants #0070,gray,pants,leather,0.757458,0.884088,0.225175,0.62224,next_week
train,Denim Skirt #0071,green,skirt,denim,0.13476,0.790485,0.732279,0.552508,next_week
train,Linen Pants #0072,green,pants,linen,0.13476,0.884088,0.369073,0.46264,next_month
train,Denim Shorts #0073,gray,shorts,denim,0.757458,0.629479,0.732279,0.706405,current
train,Leather Shorts #0074,purple,shorts,leather,0.383718,0.629479,0.225175,0.412791,next_month
train,Linen Skirt #0075,red,skirt,linen,0.677631,0.790485,0.369073,0.612396,next_week
train,Cotton Pants #0076,black,pants,cotton,0.74656,0.884088,0.618498,0.749715,current
train,Polyester Tops #0077,black,tops,polyester,0.74656,0.254515,0.750545,0.583873,next_week
train,Knit Skirt #0078,white,skirt,knit,0.444991,0.790485,0.470049,0.568508,next_week
train,Silk Skirt #0079,black,skirt,silk,0.74656,0.790485,0.923628,0.820224,current
train,Denim Outerwear #0080,navy,outerwear,denim,0.165302,0.549126,0.732279,0.482236,next_month
train,Silk Outerwear #0081,white,outerwear,silk,0.444991,0.549126,0.923628,0.639248,next_week
train,Linen Skirt #0082,green,skirt,linen,0.13476,0.790485,0.369073,0.431439,next_month
train,Denim Accessories #0083,navy,accessories,denim,0.165302,0.794868,0.732279,0.56415,next_week
train,Linen Skirt #0084,pink,skirt,linen,0.735026,0.790485,0.369073,0.631528,next_week
train,Denim Shorts #0085,blue,shorts,denim,0.822738,0.629479,0.732279,0.728165,current
train,Knit Skirt #0086,navy,skirt,knit,0.165302,0.790485,0.470049,0.475279,next_month
train,Silk Dress #0087,black,dress,silk,0.74656,0.449073,0.923628,0.70642,current
train,Wool Shorts #0088,gray,shorts,wool,0.757458,0.629479,0.853809,0.746915,current
train,Knit Tops #0089,pink,tops,knit,0.735026,0.254515,0.470049,0.48653,next_month
train,Denim Accessories #0090,brown,accessories,denim,0.455347,0.794868,0.732279,0.660831,current
train,Silk Outerwear #0091,blue,outerwear,silk,0.822738,0.549126,0.923628,0.765164,current
train,Leather Tops #0092,gray,tops,leather,0.757458,0.254515,0.225175,0.412383,next_month
train,Denim Shorts #0093,purple,shorts,denim,0.383718,0.629479,0.732279,0.581825,next_week
train,Denim Pants #0094,gray,pants,denim,0.757458,0.884088,0.732279,0.791275,current
train,Denim Shoes #0095,beige,shoes,denim,0.92806,0.107436,0.732279,0.589258,next_week
train,Linen Shorts #0096,green,shorts,linen,0.13476,0.629479,0.369073,0.377771,next_month
train,Linen Tops #0097,red,tops,linen,0.677631,0.254515,0.369073,0.43374,next_month
train,Leather Shoes #0098,red,shoes,leather,0.677631,0.107436,0.225175,0.336747,three_months
train,Polyester Skirt #0099,red,skirt,polyester,0.677631,0.790485,0.750545,0.739554,current
train,Leather Shorts #0100,red,shorts,leather,0.677631,0.629479,0.225175,0.510762,next_week
train,Leather Shorts #0101,beige,shorts,leather,0.92806,0.629479,0.225175,0.594238,next_week
train,Polyester Tops #0102,navy,tops,polyester,0.165302,0.254515,0.750545,0.390121,next_month
train,Silk Skirt #0103,white,skirt,silk,0.444991,0.790485,0.923628,0.719701,current
train,Knit Pants #0104,purple,pants,knit,0.383718,0.884088,0.470049,0.579285,next_week
train,Silk Skirt #0105,brown,skirt,silk,0.455347,0.790485,0.923628,0.723153,current
train,Polyester Skirt #0106,gray,skirt,polyester,0.757458,0.790485,0.750545,0.766163,current
train,Polyester Tops #0107,green,tops,polyester,0.13476,0.254515,0.750545,0.37994,next_month
train,Cotton Accessories #0108,white,accessories,cotton,0.444991,0.794868,0.618498,0.619452,next_week
train,Cotton Outerwear #0109,beige,outerwear,cotton,0.92806,0.549126,0.618498,0.698561,current
train,Linen Dress #0110,red,dress,linen,0.677631,0.449073,0.369073,0.498592,next_month
train,Silk Pants #0111,gray,pants,silk,0.757458,0.884088,0.923628,0.855058,current
train,Denim Tops #0112,beige,tops,denim,0.92806,0.254515,0.732279,0.638285,next_week
train,Cotton Shorts #0113,red,shorts,cotton,0.677631,0.629479,0.618498,0.641869,next_week
train,Knit Dress #0114,red,dress,knit,0.677631,0.449073,0.470049,0.532251,next_week
train,Knit Pants #0115,red,pants,knit,0.677631,0.884088,0.470049,0.677256,current
train,Cotton Outerwear #0116,blue,outerwear,cotton,0.822738,0.549126,0.618498,0.663454,current
train,Silk Outerwear #0117,green,outerwear,silk,0.13476,0.549126,0.923628,0.535838,next_week
train,Silk Accessories #0118,purple,accessories,silk,0.383718,0.794868,0.923628,0.700738,current
train,Knit Shoes #0119,pink,shoes,knit,0.735026,0.107436,0.470049,0.437504,next_month
train,Knit Pants #0120,navy,pants,knit,0.165302,0.884088,0.470049,0.50648,next_week
train,Knit Shoes #0121,gray,shoes,knit,0.757458,0.107436,0.470049,0.444981,next_month
train,Leather Dress #0122,green,dress,leather,0.13476,0.449073,0.225175,0.269669,three_months
train,Wool Dress #0123,black,dress,wool,0.74656,0.449073,0.853809,0.683147,current
train,Silk Shorts #0124,brown,shorts,silk,0.455347,0.629479,0.923628,0.669485,current
train,Silk Pants #0125,black,pants,silk,0.74656,0.884088,0.923628,0.851425,current
train,Cotton Dress #0126,navy,dress,cotton,0.165302,0.449073,0.618498,0.410958,next_month
train,Linen Shoes #0127,blue,shoes,linen,0.822738,0.107436,0.369073,0.433082,six_months
train,Leather Skirt #0128,beige,skirt,leather,0.92806,0.790485,0.225175,0.647907,next_week
train,Leather Accessories #0129,green,accessories,leather,0.13476,0.794868,0.225175,0.384934,next_month
train,Linen Shorts #0130,pink,shorts,linen,0.735026,0.629479,0.369073,0.577859,next_week
train,Wool Skirt #0131,pink,skirt,wool,0.735026,0.790485,0.853809,0.793107,current
train,Leather Shorts #0132,purple,shorts,leather,0.383718,0.629479,0.225175,0.412791,next_month
train,Denim Outerwear #0133,beige,outerwear,denim,0.92806,0.549126,0.732279,0.736488,current
train,Knit Skirt #0134,beige,skirt,knit,0.92806,0.790485,0.470049,0.729531,current
train,Silk Tops #0135,green,tops,silk,0.13476,0.254515,0.923628,0.437634,next_month
train,Denim Pants #0136,black,pants,denim,0.74656,0.884088,0.732279,0.787642,current
train,Leather Shoes #0137,red,shoes,leather,0.677631,0.107436,0.225175,0.336747,next_month
train,Wool Accessories #0138,gray,accessories,wool,0.757458,0.794868,0.853809,0.802045,current
train,Linen Skirt #0139,brown,skirt,linen,0.455347,0.790485,0.369073,0.538302,next_week
train,Cotton Pants #0140,blue,pants,cotton,0.822738,0.884088,0.618498,0.775108,current
train,Wool Pants #0141,green,pants,wool,0.13476,0.884088,0.853809,0.624219,next_week
train,Polyester Shoes #0142,white,shoes,polyester,0.444991,0.107436,0.750545,0.434324,next_month
train,Polyester Outerwear #0143,gray,outerwear,polyester,0.757458,0.549126,0.750545,0.68571,current
train,Leather Skirt #0144,green,skirt,leather,0.13476,0.790485,0.225175,0.383473,next_month
train,Silk Outerwear #0145,beige,outerwear,silk,0.92806,0.549126,0.923628,0.800271,current
train,Denim Shoes #0146,gray,shoes,denim,0.757458,0.107436,0.732279,0.532391,next_week
train,Denim Shoes #0147,red,shoes,denim,0.677631,0.107436,0.732279,0.505782,next_week
train,Leather Outerwear #0148,gray,outerwear,leather,0.757458,0.549126,0.225175,0.510586,next_week
train,Cotton Tops #0149,brown,tops,cotton,0.455347,0.254515,0.618498,0.442787,next_month
train,Cotton Skirt #0150,beige,skirt,cotton,0.92806,0.790485,0.618498,0.779014,current
train,Denim Skirt #0151,pink,skirt,denim,0.735026,0.790485,0.732279,0.752597,six_months
train,Denim Skirt #0152,gray,skirt,denim,0.757458,0.790485,0.732279,0.760074,current
train,Wool Outerwear #0153,beige,outerwear,wool,0.92806,0.549126,0.853809,0.776998,current
train,Polyester Shoes #0154,blue,shoes,polyester,0.822738,0.107436,0.750545,0.56024,next_week
train,Knit Skirt #0155,red,skirt,knit,0.677631,0.790485,0.470049,0.646055,next_week
train,Leather Skirt #0156,black,skirt,leather,0.74656,0.790485,0.225175,0.587407,next_week
train,Linen Shorts #0157,blue,shorts,linen,0.822738,0.629479,0.369073,0.607097,next_week
train,Wool Shoes #0158,red,shoes,wool,0.677631,0.107436,0.853809,0.546292,next_week
train,Leather Skirt #0159,brown,skirt,leather,0.455347,0.790485,0.225175,0.490336,next_month
train,Wool Shorts #0160,pink,shorts,wool,0.735026,0.629479,0.853809,0.739438,current
train,Knit Accessories #0161,brown,accessories,knit,0.455347,0.794868,0.470049,0.573421,next_week
train,Knit Accessories #0162,white,accessories,knit,0.444991,0.794868,0.470049,0.569969,next_week
train,Wool Shorts #0163,beige,shorts,wool,0.92806,0.629479,0.853809,0.803783,current
train,Denim Shoes #0164,black,shoes,denim,0.74656,0.107436,0.732279,0.528758,next_week
train,Leather Tops #0165,blue,tops,leather,0.822738,0.254515,0.225175,0.434143,current
train,Denim Pants #0166,red,pants,denim,0.677631,0.884088,0.732279,0.764666,current
train,Denim Tops #0167,white,tops,denim,0.444991,0.254515,0.732279,0.477262,next_month
train,Wool Tops #0168,red,tops,wool,0.677631,0.254515,0.853809,0.595318,next_week
train,Cotton Pants #0169,purple,pants,cotton,0.383718,0.884088,0.618498,0.628768,next_week
train,Cotton Dress #0170,navy,dress,cotton,0.165302,0.449073,0.618498,0.410958,next_month
train,Polyester Tops #0171,purple,tops,polyester,0.383718,0.254515,0.750545,0.462926,next_month
train,Cotton Skirt #0172,black,skirt,cotton,0.74656,0.790485,0.618498,0.718514,current
train,Cotton Tops #0173,black,tops,cotton,0.74656,0.254515,0.618498,0.539858,next_week
train,Linen Shorts #0174,brown,shorts,linen,0.455347,0.629479,0.369073,0.484633,next_month
train,Knit Skirt #0175,green,skirt,knit,0.13476,0.790485,0.470049,0.465098,next_month
train,Knit Skirt #0176,green,skirt,knit,0.13476,0.790485,0.470049,0.465098,next_month
train,Cotton Accessories #0177,brown,accessories,cotton,0.455347,0.794868,0.618498,0.622904,next_week
train,Cotton Pants #0178,green,pants,cotton,0.13476,0.884088,0.618498,0.545782,next_week
train,Knit Shorts #0179,white,shorts,knit,0.444991,0.629479,0.470049,0.51484,next_week
train,Denim Shorts #0180,red,shorts,denim,0.677631,0.629479,0.732279,0.679796,current
train,Polyester Tops #0181,navy,tops,polyester,0.165302,0.254515,0.750545,0.390121,next_month
train,Polyester Skirt #0182,beige,skirt,polyester,0.92806,0.790485,0.750545,0.82303,current
train,Leather Dress #0183,brown,dress,leather,0.455347,0.449073,0.225175,0.376532,next_month
train,Cotton Skirt #0184,black,skirt,cotton,0.74656,0.790485,0.618498,0.718514,current
train,Knit Dress #0185,green,dress,knit,0.13476,0.449073,0.470049,0.351294,next_month
train,Denim Shoes #0186,pink,shoes,denim,0.735026,0.107436,0.732279,0.524914,next_week
train,Linen Dress #0187,red,dress,linen,0.677631,0.449073,0.369073,0.498592,next_month
train,Wool Dress #0188,navy,dress,wool,0.165302,0.449073,0.853809,0.489395,next_month
train,Denim Outerwear #0189,gray,outerwear,denim,0.757458,0.549126,0.732279,0.679621,current
train,Cotton Skirt #0190,green,skirt,cotton,0.13476,0.790485,0.618498,0.514581,next_week
train,Cotton Shoes #0191,white,shoes,cotton,0.444991,0.107436,0.618498,0.390308,next_month
train,Knit Shoes #0192,brown,shoes,knit,0.455347,0.107436,0.470049,0.344277,three_months
train,Wool Dress #0193,gray,dress,wool,0.757458,0.449073,0.853809,0.68678,current
train,Wool Skirt #0194,blue,skirt,wool,0.822738,0.790485,0.853809,0.822344,current
train,Denim Tops #0195,navy,tops,denim,0.165302,0.254515,0.732279,0.384032,next_month
train,Cotton Outerwear #0196,gray,outerwear,cotton,0.757458,0.549126,0.618498,0.641694,next_week
train,Linen Shoes #0197,beige,shoes,linen,0.92806,0.107436,0.369073,0.46819,next_month
train,Knit Skirt #0198,beige,skirt,knit,0.92806,0.790485,0.470049,0.729531,current
train,Linen Accessories #0199,white,accessories,linen,0.444991,0.794868,0.369073,0.536311,next_week
train,Denim Skirt #0200,blue,skirt,denim,0.822738,0.790485,0.732279,0.781834,current
train,Wool Shorts #0201,navy,shorts,wool,0.165302,0.629479,0.853809,0.54953,next_week
train,Polyester Dress #0202,red,dress,polyester,0.677631,0.449073,0.750545,0.62575,next_week
train,Leather Accessories #0203,black,accessories,leather,0.74656,0.794868,0.225175,0.588868,next_week
train,Leather Accessories #0204,pink,accessories,leather,0.735026,0.794868,0.225175,0.585023,next_week
train,Knit Dress #0205,green,dress,knit,0.13476,0.449073,0.470049,0.351294,next_month
train,Silk Skirt #0206,brown,skirt,silk,0.455347,0.790485,0.923628,0.723153,current
train,Wool Skirt #0207,beige,skirt,wool,0.92806,0.790485,0.853809,0.857451,current
train,Polyester Dress #0208,red,dress,polyester,0.677631,0.449073,0.750545,0.62575,next_week
train,Silk Shorts #0209,black,shorts,silk,0.74656,0.629479,0.923628,0.766556,current
train,Linen Outerwear #0210,white,outerwear,linen,0.444991,0.549126,0.369073,0.454397,next_month
train,Wool Skirt #0211,beige,skirt,wool,0.92806,0.790485,0.853809,0.857451,current
train,Leather Dress #0212,purple,dress,leather,0.383718,0.449073,0.225175,0.352655,next_month
train,Silk Dress #0213,black,dress,silk,0.74656,0.449073,0.923628,0.70642,current
train,Cotton Shorts #0214,gray,shorts,cotton,0.757458,0.629479,0.618498,0.668478,current
train,Cotton Accessories #0215,purple,accessories,cotton,0.383718,0.794868,0.618498,0.599028,next_week
train,Polyester Pants #0216,blue,pants,polyester,0.822738,0.884088,0.750545,0.819124,current
train,Denim Accessories #0217,pink,accessories,denim,0.735026,0.794868,0.732279,0.754058,current
train,Silk Skirt #0218,beige,skirt,silk,0.92806,0.790485,0.923628,0.880724,current
train,Polyester Outerwear #0219,pink,outerwear,polyester,0.735026,0.549126,0.750545,0.678232,current
train,Cotton Shorts #0220,beige,shorts,cotton,0.92806,0.629479,0.618498,0.725346,current
train,Knit Tops #0221,gray,tops,knit,0.757458,0.254515,0.470049,0.494007,next_month
train,Linen Shoes #0222,white,shoes,linen,0.444991,0.107436,0.369073,0.307167,three_months
train,Silk Shoes #0223,green,shoes,silk,0.13476,0.107436,0.923628,0.388608,next_month
train,Cotton Skirt #0224,purple,skirt,cotton,0.383718,0.790485,0.618498,0.597567,next_week
train,Cotton Tops #0225,blue,tops,cotton,0.822738,0.254515,0.618498,0.56525,next_week
train,Polyester Accessories #0226,brown,accessories,polyester,0.455347,0.794868,0.750545,0.66692,current
train,Knit Shorts #0227,purple,shorts,knit,0.383718,0.629479,0.470049,0.494415,next_month
train,Polyester Outerwear #0228,black,outerwear,polyester,0.74656,0.549126,0.750545,0.682077,current
train,Leather Outerwear #0229,navy,outerwear,leather,0.165302,0.549126,0.225175,0.313201,three_months
train,Polyester Dress #0230,green,dress,polyester,0.13476,0.449073,0.750545,0.444793,next_month
train,Cotton Skirt #0231,navy,skirt,cotton,0.165302,0.790485,0.618498,0.524762,next_week
train,Knit Accessories #0232,gray,accessories,knit,0.757458,0.794868,0.470049,0.674125,current
train,Linen Dress #0233,brown,dress,linen,0.455347,0.449073,0.369073,0.424498,next_month
train,Silk Accessories #0234,brown,accessories,silk,0.455347,0.794868,0.923628,0.724614,current
train,Knit Outerwear #0235,brown,outerwear,knit,0.455347,0.549126,0.470049,0.491507,next_month
train,Wool Pants #0236,navy,pants,wool,0.165302,0.884088,0.853809,0.6344,next_week
train,Cotton Shorts #0237,beige,shorts,cotton,0.92806,0.629479,0.618498,0.725346,current
train,Cotton Tops #0238,green,tops,cotton,0.13476,0.254515,0.618498,0.335924,three_months
train,Denim Skirt #0239,red,skirt,denim,0.677631,0.790485,0.732279,0.733465,current
train,Silk Outerwear #0240,purple,outerwear,silk,0.383718,0.549126,0.923628,0.618824,next_week
train,Wool Tops #0241,gray,tops,wool,0.757458,0.254515,0.853809,0.621927,next_week
train,Cotton Tops #0242,navy,tops,cotton,0.165302,0.254515,0.618498,0.346105,three_months
train,Denim Shorts #0243,white,shorts,denim,0.444991,0.629479,0.732279,0.60225,next_week
train,Linen Tops #0244,purple,tops,linen,0.383718,0.254515,0.369073,0.335769,three_months
train,Polyester Shorts #0245,white,shorts,polyester,0.444991,0.629479,0.750545,0.608338,next_week
train,Polyester Shorts #0246,beige,shorts,polyester,0.92806,0.629479,0.750545,0.769361,current
train,Linen Outerwear #0247,green,outerwear,linen,0.13476,0.549126,0.369073,0.350986,next_month
train,Polyester Skirt #0248,red,skirt,polyester,0.677631,0.790485,0.750545,0.739554,current
train,Cotton Tops #0249,purple,tops,cotton,0.383718,0.254515,0.618498,0.41891,next_month
train,Leather Shoes #0250,blue,shoes,leather,0.822738,0.107436,0.225175,0.385116,next_month
train,Denim Shoes #0251,white,shoes,denim,0.444991,0.107436,0.732279,0.428235,next_month
train,Denim Shorts #0252,white,shorts,denim,0.444991,0.629479,0.732279,0.60225,next_week
train,Leather Pants #0253,red,pants,leather,0.677631,0.884088,0.225175,0.595631,next_week
train,Linen Pants #0254,white,pants,linen,0.444991,0.884088,0.369073,0.566051,next_week
train,Leather Shoes #0255,black,shoes,leather,0.74656,0.107436,0.225175,0.359724,next_month
train,Linen Pants #0256,green,pants,linen,0.13476,0.884088,0.369073,0.46264,next_month
train,Cotton Skirt #0257,brown,skirt,cotton,0.455347,0.790485,0.618498,0.621443,next_week
train,Cotton Shoes #0258,pink,shoes,cotton,0.735026,0.107436,0.618498,0.486987,six_months
train,Knit Skirt #0259,black,skirt,knit,0.74656,0.790485,0.470049,0.669031,current
train,Cotton Pants #0260,gray,pants,cotton,0.757458,0.884088,0.618498,0.753348,current
train,Wool Skirt #0261,red,skirt,wool,0.677631,0.790485,0.853809,0.773975,current
train,Knit Tops #0262,black,tops,knit,0.74656,0.254515,0.470049,0.490375,next_month
train,Cotton Shorts #0263,gray,shorts,cotton,0.757458,0.629479,0.618498,0.668478,current
train,Knit Shoes #0264,red,shoes,knit,0.677631,0.107436,0.470049,0.418372,next_month
train,Knit Pants #0265,red,pants,knit,0.677631,0.884088,0.470049,0.677256,current
train,Linen Tops #0266,navy,tops,linen,0.165302,0.254515,0.369073,0.262963,three_months
train,Knit Shoes #0267,purple,shoes,knit,0.383718,0.107436,0.470049,0.320401,three_months
train,Denim Shorts #0268,gray,shorts,denim,0.757458,0.629479,0.732279,0.706405,current
train,Leather Dress #0269,purple,dress,leather,0.383718,0.449073,0.225175,0.352655,next_month
train,Silk Shorts #0270,purple,shorts,silk,0.383718,0.629479,0.923628,0.645608,next_week
train,Leather Shorts #0271,green,shorts,leather,0.13476,0.629479,0.225175,0.329805,three_months
train,Denim Outerwear #0272,beige,outerwear,denim,0.92806,0.549126,0.732279,0.736488,current
train,Silk Skirt #0273,blue,skirt,silk,0.822738,0.790485,0.923628,0.845617,current
train,Denim Dress #0274,brown,dress,denim,0.455347,0.449073,0.732279,0.545566,next_week
train,Linen Shorts #0275,brown,shorts,linen,0.455347,0.629479,0.369073,0.484633,next_month
train,Cotton Shoes #0276,gray,shoes,cotton,0.757458,0.107436,0.618498,0.494464,next_month
train,Polyester Outerwear #0277,purple,outerwear,polyester,0.383718,0.549126,0.750545,0.56113,next_week
train,Silk Pants #0278,brown,pants,silk,0.455347,0.884088,0.923628,0.754354,current
train,Cotton Accessories #0279,beige,accessories,cotton,0.92806,0.794868,0.618498,0.780475,current
train,Cotton Dress #0280,red,dress,cotton,0.677631,0.449073,0.618498,0.581734,next_week
train,Cotton Accessories #0281,navy,accessories,cotton,0.165302,0.794868,0.618498,0.526223,next_week
train,Cotton Shoes #0282,green,shoes,cotton,0.13476,0.107436,0.618498,0.286898,three_months
train,Wool Shorts #0283,brown,shorts,wool,0.455347,0.629479,0.853809,0.646212,next_week
train,Cotton Accessories #0284,red,accessories,cotton,0.677631,0.794868,0.618498,0.696999,current
train,Leather Tops #0285,red,tops,leather,0.677631,0.254515,0.225175,0.385774,next_month
train,Polyester Shoes #0286,beige,shoes,polyester,0.92806,0.107436,0.750545,0.595347,next_week
train,Knit Accessories #0287,white,accessories,knit,0.444991,0.794868,0.470049,0.569969,next_week
train,Linen Dress #0288,beige,dress,linen,0.92806,0.449073,0.369073,0.582069,next_week
train,Silk Outerwear #0289,black,outerwear,silk,0.74656,0.549126,0.923628,0.739771,current
train,Linen Tops #0290,beige,tops,linen,0.92806,0.254515,0.369073,0.517216,next_week
train,Linen Shoes #0291,green,shoes,linen,0.13476,0.107436,0.369073,0.203756,three_months
train,Wool Accessories #0292,pink,accessories,wool,0.735026,0.794868,0.853809,0.794568,current
train,Linen Shoes #0293,red,shoes,linen,0.677631,0.107436,0.369073,0.384713,next_month
train,Knit Tops #0294,beige,tops,knit,0.92806,0.254515,0.470049,0.550875,next_week
train,Leather Shorts #0295,white,shorts,leather,0.444991,0.629479,0.225175,0.433215,next_month
train,Wool Shoes #0296,blue,shoes,wool,0.822738,0.107436,0.853809,0.594661,next_week
train,Polyester Skirt #0297,gray,skirt,polyester,0.757458,0.790485,0.750545,0.766163,current
train,Silk Shorts #0298,beige,shorts,silk,0.92806,0.629479,0.923628,0.827056,current
train,Polyester Shoes #0299,gray,shoes,polyester,0.757458,0.107436,0.750545,0.53848,next_week
train,Leather Shoes #0300,gray,shoes,leather,0.757458,0.107436,0.225175,0.363356,current
train,Wool Shoes #0301,brown,shoes,wool,0.455347,0.107436,0.853809,0.472197,next_month
